key,valeur
success_coupon_add,Coupon a été ajouté avec succès
success_coupon_edit,Coupon a été mis à jour avec succès
success_coupon_delete,Coupon a été supprimé
delete_coupon_label,Coupon de suppression?
coupon_delete_confirm_message,Etes-vous sûr de supprimer ce coupon?
err_coupon_name,S'il vous plaît fournir le nom de coupon
err_coupon_len,La longueur du nom de coupon doit être supérieur à 4
err_coupon_exist,Nom du coupon est déjà existé dans le système
shipping_name,Nom pour la livraison
shipping_price,Prix
shipping_days,Journées
shipping_add,Ajouter Méthode d'expédition
shipping_edit,Modifier Méthode d'expédition
shipping_search,Rechercher Mode de livraison
shipping_info,Informations sur la livraison Méthode
success_shipping_add,Méthode d'expédition a été ajouté avec succès
success_shipping_edit,Méthode d'expédition a été mis à jour avec succès
success_shipping_delete,Méthode d'expédition a été supprimé
err_shipping_name,S'il vous plaît fournir l'expédition nom de la méthode
err_shipping_len,La longueur de la marine marchande Nom de la méthode doit être supérieure à 4
err_shipping_exist,Méthode d'expédition Nom est existe déjà dans le système
delete_shipping_label,Supprimer Méthode d'expédition?
shipping_delete_confirm_message,Etes-vous sûr de supprimer cette méthode d'expédition?
tag_name,Nom de la balise
tag_img,Marquer la photo
tag_add,Ajouter une étiquette
tag_search,Recherche Tag
tag_info,Informations sur le tag
tag_icon,tag Icône
err_tag_name,S'il vous plaît fournir le nom de l'étiquette
err_tag_len,La longueur de la balise nom doit être supérieure à 4
err_tag_exist,Nom de la balise est déjà existé dans le système
success_tag_add,Tag a été ajouté avec succès
success_tag_edit,Tag a été mis à jour avec succès
success_tag_delete,Tag a été supprimé
delete_tag_label,Supprimer Tag?
tag_delete_confirm_message,Etes-vous sûr de supprimer cette balise?
btn_version,Version
ver_info,Information sur la version
ver_no_label,version Non
ver_msg_label,version message
ver_title_label,version Titre
ver_force_update,Version mise à jour de travail?
ver_need_data,Version Besoin Effacer les données?
success_version_add,Version a été ajouté avec succès
success_version_edit,Version a été mis à jour avec succès
paypal_transaction_failed,"Désolé, Paypal Transaction est échoué."
stripe_transaction_failed,"Désolé, Stripe transaction échoue."
err_user_not_exist,"Désolé, les informations d'identification de connexion de l'utilisateur sont erronées"
no_record,No More enregistrement
delete_register_user_label,Supprimer un utilisateur enregistré?
register_user_delete_confirm_message,Etes-vous sûr de supprimer cet utilisateur enregistré?
success_registered_user_delete,L'utilisateur enregistré a été supprimé
success_user_delete,L'utilisateur a été supprimé
user_ban,Ban utilisateur
user_ban_label,Interdire
user_unban,unban
err_user_banned,"Désolé, vous ne pouvez pas vous connecter parce que votre compte est interdit."
no_record,Plus d'enregistrement
invalid_api_key,API clé est invalide
apikey_info,Api Informations clés
key_label,Clé
success_apikey_edit,Api clé est mis à jour avec succès
success_apikey_add,Api clé est ajouté avec succès
err_user_email_exist,Email L'utilisateur est déjà exister
trans_payment_method,Mode de paiement :
trans_memo,Note :
trans_item_sub_total,Point Sous-total:
trans_coupon_discount_amount,Coupon Montant (-):
trans_overall_tax,fiscale globale
trans_shipping_cost,Frais de transport (à l'aide
trans_shipping_tax,Expédition Taxes
trans_total_balance_amount,Total Solde Montant:
order_desc,Ordre de Flutter Multi Store:
err_email_not_send_to_shop,"Désolé, envoyez un courriel ne peut pas envoyer le propriétaire du magasin."
err_email_not_send_to_user,"Désolé, envoyez un courriel pas en mesure d'envoyer le client."
order_receive_subject,Nouvel ordre a été reçu
order_status_subject,état de la commande de la commande a été modifiée pour
country_name,Nom du pays
country_add,Ajouter Pays
country_search,Recherche Pays
country_edit,Modifier Pays
country_info,Informations pays
success_country_add,Le pays a été ajouté avec succès
success_country_edit,Le pays a été mis à jour avec succès
success_country_delete,Pays a été supprimé
delete_country_label,Supprimer Pays?
country_yes_all_message,"Quand supprimer ce pays, il supprimera toutes les villes et les zones connexes aussi. Alors, voulez-vous toujours de le supprimer?"
err_country_name,S'il vous plaît fournir le nom du pays
err_country_len,La longueur du nom du pays doit être supérieur à 4
err_country_exist,Pays Nom est déjà existé dans le système
city_name,Nom de Ville
city_add,Ajouter Ville
select_country,Sélectionnez Nom Pays
city_search,Recherche Ville
city_edit,Modifier la ville
city_info,ville information
success_city_add,Ville a été ajouté avec succès
success_city_edit,City a été mis à jour avec succès
success_city_delete,Ville a été supprimé
delete_city_label,Supprimer la ville?
city_delete_confirm_message,Etes-vous sûr de supprimer cette ville?
err_city_name,S'il vous plaît fournir le nom de la ville
err_city_len,La longueur de la ville Nom doit être supérieure à 4
err_city_exist,Nom de la ville est déjà existé dans le système
f_item_country_required,Veuillez sélectionner Nom Pays
zone_name,Nom de la zone
zone_search,Rechercher Zone
zone_add,Ajouter une zone
zone_edit,Modifier Zone
zone_info,zone d'information
select_city,Sélectionnez Nom Ville (Multiple Select)
success_zone_add,Zone a été ajouté avec succès
success_zone_edit,Zone a été mis à jour
success_zone_delete,Zone a été supprimé
delete_zone_label,Supprimer la zone?
zone_delete_confirm_message,Etes-vous sûr de supprimer cette zone?
err_zone_name,S'il vous plaît fournir le nom de zone
err_zone_len,La longueur de la zone Nom doit être supérieure à 4
err_zone_exist,Nom de la zone est déjà existé dans le système
f_item_city_required,Veuillez sélectionner Nom Ville
select_zone,Sélectionnez zones
shipping_zone_add,Ajouter Expédition Avec Zone
shipping_zone_edit,Modifier Expédition Avec Zone
shipping_zone_search,Rechercher Livraison avec Zone
shipping_zone_info,Avec expédition Zone d'information
success_shipping_zone_add,Avec la livraison Zone a été ajouté avec succès
success_shipping_zone_edit,Avec la livraison Zone a été mis à jour avec succès
success_shipping_zone_delete,Avec la livraison Zone a été supprimé
delete_shipping_zone_label,Supprimer Expédition Avec Zone?
shipping_zone_delete_confirm_message,Êtes-vous sûr de vouloir supprimer cette expédition avec la zone?
f_item_zone_required,Veuillez sélectionner Nom de la zone
shipping_package_name,Nom d'expédition Paquet
need_to_enable_zone_shipping,S'il vous plaît permettre l'expédition de la zone à réglage expédition.
dup_zone_name,Nom de la zone est déjà existé
you_selected,Vous avez sélectionné
per_order_based,Par ordre Basées
cost,Coût
per_item_based,Par article base
delivery_increment_of_zone,Livraison Increment de la zone
based_cost,Coût Sur la base
take_prd_shipping_cost,Extrais produit Frais de port
free_shipping,Livraison gratuite
zone_from_other_package,Zone est déjà sélectionné dans un autre emballage.
increment_formula,Fourmula: (produit Frais de port) x (valeur Increacement) x (QTE)
increment_note,Note: Nécessité de défaut de réglage est 1.
cat_module,Catégories
contact_module,Contactez-nous un message
system_user_module,Les utilisateurs du système
export_database_module,Base de données d'exportation
subcat_module,Sous-catégories
discount_module,Réductions
blog_module,Les blogs
product_module,nourriture
collection_module,collections
noti_module,N'est pas
version_module,Version
comments_module,commentaires
like_module,Aime
favourites_module,Favoris
transaction_module,Transactions
popular_prd_module,La plupart nourriture populaires
purchase_prd_module,La plupart nourriture d'achat
popular_cat_module,Catégories les plus populaires
purchase_cat_module,La plupart des catégories d'achat
rate_prd_module,La plupart évalués
coupon_dis_module,Réductions Coupon
shipping_module,Mode de livraison
app_module,À propos App
shop_module,À propos de Boutique
register_user_module,Utilisateurs enregistrés
api_key_module,api clés
countries_module,Des pays
cities_module,Villes
zone_module,Zone
shipping_zone_module,Expédition avec les zones
language_module,langues
entry_group,Entrée
user_feedback_group,Commentaires des utilisateurs
user_mang_groups,Gestion des utilisateurs
reports_group,Rapports
miscellaneous_group,Divers
setting_group,Réglage
second_ago,seconde
minute_ago,minute
hour_ago,heure
day_ago,journée
week_ago,la semaine
month_ago,mois
year_ago,année
decade_ago,décennie
just_now_label,Juste maintenant
ago_label,depuis
btn_active,actif
lang_string,langue Chaîne
lang_name,Nom de la langue
lang_add,Ajouter une langue
lang_info,langue d'information
lang_symbol,symbole
lang_search,Recherche Langue
lang_edit,Modifier la langue
success_lang_edit,La langue a été mis à jour avec succès
success_lang_add,La langue a été ajouté avec succès
success_lang_delete,La langue a été supprimé
err_lang_name,S'il vous plaît fournir le nom de la langue
err_lang_len,La longueur de la langue Nom doit être supérieur à 4
err_lang_exist,Langue Le nom est déjà existé dans le système
delete_lang_label,Supprimer la langue?
lang_delete_confirm_message,Voulez-vous supprimer toute la chaîne sous cette ensemble linguistique?
lang_yes_all_label,Oui tout
lang_no_only_label,seulement Langue
lang_yes_all_message,Oui Tous - Langue et articles supprimeront du système.
language_id,Langue
lang_string_key,Clé
lang_string_value,Valeur
lang_string_info,Informations sur les chaînes de langue
select_language,Langue sélectionnée
btn_import,Importation
csv_symbol_link,fichier csv Exemple ici
lang_str_search,Recherche Langue Chaîne
success_langstr_import,Langue chaîne avec succès csv téléchargé
lang_str_add,Ajouter une langue Chaîne
lang_str_edit,Modifier la langue Chaîne
success_lang_str_edit,Langue Chaîne a été mis à jour avec succès
success_lang_str_add,Langue chaîne a été ajouté avec succès
err_lang_str_name,S'il vous plaît fournir le nom de la chaîne de langue
err_lang_str_len,La longueur de la chaîne de langue doit être supérieure à 4
err_lang_str_exist,Langue chaîne est déjà existé dans le système
lang_title,Supprimé Langue?
lang_warning,Vous ne pouvez pas supprimer la langue active.
btn_ok,D'accord
list_lang_label,langues
list_lang_str_label,langue Cordes
err_lang_symbol,S'il vous plaît donner le symbole langue
pls_att_name,S'il vous plaît Nom d'attribut Détail
remove_label,Retirer
btn_no,Non
pls_city_name,Nom de la ville vous plaît
pls_collect_name,Nom Collection vous plaît
pls_dis_percent,S'il vous plaît pour cent de réduction
pls_prd_name,S'il vous plaît Nom du produit
pls_highlight_info,S'il vous plaît mettez en surbrillance Information
pls_code,S'il vous plaît Entrez le code
pls_unit_price,S'il vous plaît Unité Prix
pls_shipping_cost,S'il vous plaît les frais de port
pls_minimum_order,S'il vous plaît Commande minimum
pls_prd_measurement,S'il vous plaît mesure produit
pls_prd_unit,S'il vous plaît Unité Produit
pls_search_tag,S'il vous plaît Recherche Tag
pls_prd_desc,S'il vous plaît Description du produit
